ensembl_id,gene_id,Description
ENSRNOG00000003120,Prelp,proline and arginine rich end leucine rich repeat protein
ENSRNOG00000011006,Stoml3,stomatin like 3
ENSRNOG00000012697,Spaca9,sperm acrosome associated 9
ENSRNOG00000016842,Pifo,primary cilia formation
ENSRNOG00000021602,Zmynd10,"zinc finger, MYND-type containing 10"
ENSRNOG00000060984,Dnah7,"dynein, axonemal, heavy chain 7"
ENSRNOG00000003952,AABR07020879.1,
ENSRNOG00000010668,Anxa6,annexin A6
ENSRNOG00000016247,Daw1,dynein assembly factor with WD repeats 1
ENSRNOG00000017959,Cfap100,cilia and flagella associated protein 100
ENSRNOG00000032788,Dysf,dysferlin
ENSRNOG00000008492,Cfap45,cilia and flagella associated protein 45
ENSRNOG00000023721,LOC502684,hypothetical protein LOC502684
ENSRNOG00000001342,Wdr66,WD repeat domain 66
ENSRNOG00000051548,Lmod1,leiomodin 1
ENSRNOG00000001873,P2rx6,purinergic receptor P2X 6
ENSRNOG00000011028,AABR07054096.1,
ENSRNOG00000013654,Cbln2,cerebellin 2 precursor
ENSRNOG00000014102,Wdr38,WD repeat domain 38
ENSRNOG00000023566,Vwa3b,von Willebrand factor A domain containing 3B
ENSRNOG00000030729,C4b,complement C4B (Chido blood group)
ENSRNOG00000047565,Echs1,"enoyl-CoA hydratase, short chain 1"
ENSRNOG00000059865,Dnah12,"dynein, axonemal, heavy chain 12"
ENSRNOG00000022723,RGD1562029,similar to KIAA2012 protein
ENSRNOG00000046663,Fcgr2a,Fc fragment of IgG receptor IIa
ENSRNOG00000019495,Gbx2,gastrulation brain homeobox 2
ENSRNOG00000001036,Rsph10b,radial spoke head 10 homolog B
ENSRNOG00000037196,Spag17,sperm associated antigen 17
ENSRNOG00000038202,Calml4,calmodulin-like 4
ENSRNOG00000037718,Cfap52,cilia and flagella associated protein 52
ENSRNOG00000024494,AABR07056633.1,
ENSRNOG00000037310,Riiad1,regulatory subunit of type II PKA R-subunit domain containing 1
ENSRNOG00000014893,Wdr63,WD repeat domain 63
ENSRNOG00000039086,Ccdc153,coiled-coil domain containing 153
ENSRNOG00000037632,LOC688553,predicted gene 11992
ENSRNOG00000019586,Ccdc24,coiled-coil domain containing 24
ENSRNOG00000024338,LOC690276,hypothetical protein LOC690276
ENSRNOG00000024957,Dnali1,"dynein, axonemal, light intermediate chain 1"
ENSRNOG00000025384,Slc2a10,solute carrier family 2 member 10
ENSRNOG00000025787,Spag6l,sperm associated antigen 6-like
ENSRNOG00000012827,Mlf1,myeloid leukemia factor 1
ENSRNOG00000017469,Anxa1,annexin A1
ENSRNOG00000020620,Ppp1r32,"protein phosphatase 1, regulatory subunit 32"
ENSRNOG00000028077,Cfap44,cilia and flagella associated protein 44
ENSRNOG00000033906,Zfp667,zinc finger protein 667
ENSRNOG00000001493,Kptn,kaptin
ENSRNOG00000014003,Fbxo16,F-box protein 16
ENSRNOG00000020124,Lrrc51,leucine rich repeat containing 51
ENSRNOG00000020307,RGD1309139,similar to CG5435-PA
ENSRNOG00000021109,Ccdc114,coiled-coil domain containing 114
ENSRNOG00000059136,AC141997.1,
ENSRNOG00000061299,LOC100134871,beta globin minor gene
ENSRNOG00000055714,Ak7,adenylate kinase 7
ENSRNOG00000026914,Dnah1,"dynein, axonemal, heavy chain 1"
ENSRNOG00000016488,Pltp,phospholipid transfer protein
ENSRNOG00000025498,Crb2,crumbs cell polarity complex component 2
ENSRNOG00000019018,Plat,"plasminogen activator, tissue type"
ENSRNOG00000001300,P2rx4,purinergic receptor P2X 4
ENSRNOG00000015581,Dnah6,"dynein, axonemal, heavy chain 6"
ENSRNOG00000017053,Fbxo36,F-box protein 36
ENSRNOG00000021303,Drc3,dynein regulatory complex subunit 3
ENSRNOG00000027935,Lrrc34,leucine rich repeat containing 34
ENSRNOG00000028348,Lhx8,LIM homeobox 8
ENSRNOG00000038616,Cox6b2,cytochrome c oxidase subunit 6B2
ENSRNOG00000060523,AABR07044362.6,
ENSRNOG00000062053,AABR07030527.2,
ENSRNOG00000046469,Zfp300,zinc finger protein 300
ENSRNOG00000012608,Tmem212,transmembrane protein 212
ENSRNOG00000059401,Ccdc40,coiled-coil domain containing 40
ENSRNOG00000004442,Dglucy,D-glutamate cyclase
ENSRNOG00000009902,Lrrc46,leucine rich repeat containing 46
ENSRNOG00000009965,Pih1d2,PIH1 domain containing 2
ENSRNOG00000010262,Hdc,histidine decarboxylase
ENSRNOG00000012342,Ttc29,tetratricopeptide repeat domain 29
ENSRNOG00000019751,Cyb5r2,cytochrome b5 reductase 2
ENSRNOG00000061650,AC128059.5,
ENSRNOG00000012648,Ppp1r14d,"protein phosphatase 1, regulatory (inhibitor) subunit 14D"
ENSRNOG00000014293,Nkd1,NKD inhibitor of WNT signaling pathway 1
ENSRNOG00000026941,Tril,TLR4 interactor with leucine-rich repeats
ENSRNOG00000012618,Efhb,"EF hand domain family, member B"
ENSRNOG00000029682,Clic1,chloride intracellular channel 1
ENSRNOG00000059519,Bbox1,gamma-butyrobetaine hydroxylase 1
ENSRNOG00000000878,Slc44a4,"solute carrier family 44, member 4"
ENSRNOG00000014453,Anxa5,annexin A5
ENSRNOG00000014766,Galt,galactose-1-phosphate uridylyltransferase
ENSRNOG00000057862,Rsph1,radial spoke head component 1
ENSRNOG00000001243,Zcchc8,zinc finger CCHC-type containing 8
ENSRNOG00000001385,Plbd2,phospholipase B domain containing 2
ENSRNOG00000039955,Samd3,sterile alpha motif domain containing 3
ENSRNOG00000010158,Magel2,MAGE family member L2
ENSRNOG00000032768,Stxbp4,syntaxin binding protein 4
ENSRNOG00000018087,Vim,vimentin
ENSRNOG00000058243,Rfx8,"RFX family member 8, lacking RFX DNA binding domain"
ENSRNOG00000006422,Kcnk16,potassium two pore domain channel subfamily K member 16
ENSRNOG00000009345,Ugt8,UDP glycosyltransferase 8
ENSRNOG00000025551,Rgs22,regulator of G-protein signaling 22
ENSRNOG00000025860,Drc7,dynein regulatory complex subunit 7
ENSRNOG00000031523,AABR07071287.1,
ENSRNOG00000032311,AABR07058658.1,
ENSRNOG00000045554,LOC102551901,protein lifeguard 2-like
ENSRNOG00000003537,Spta1,"spectrin, alpha, erythrocytic 1"
ENSRNOG00000043105,Lyrm2,LYR motif containing 2
ENSRNOG00000054843,AABR07005593.1,
ENSRNOG00000015599,Mall,"mal, T-cell differentiation protein-like"
ENSRNOG00000039876,LOC681410,heterogeneous nuclear ribonucleoprotein A0
ENSRNOG00000010011,Osbpl3,oxysterol binding protein-like 3
ENSRNOG00000015332,Thoc1,THO complex 1
ENSRNOG00000017843,Polr3k,RNA polymerase III subunit K
ENSRNOG00000021232,Ddrgk1,DDRGK domain containing 1
ENSRNOG00000000455,Tap2,"transporter 2, ATP binding cassette subfamily B member"
ENSRNOG00000012301,Cfap161,cilia and flagella associated protein 161
ENSRNOG00000018954,Tsnaxip1,translin-associated factor X interacting protein 1
ENSRNOG00000049334,Atp2c2,ATPase secretory pathway Ca2+ transporting 2
ENSRNOG00000027319,Ephx3,epoxide hydrolase 3
ENSRNOG00000018524,Ezr,ezrin
ENSRNOG00000022326,Ccdc142,coiled-coil domain containing 142
ENSRNOG00000024221,Mettl24,methyltransferase like 24
ENSRNOG00000016995,Zap70,zeta chain of T cell receptor associated protein kinase 70
ENSRNOG00000020203,Ptpn20,"protein tyrosine phosphatase, non-receptor type 20"
ENSRNOG00000003071,Vamp4,vesicle-associated membrane protein 4
ENSRNOG00000024628,Wdr49,WD repeat domain 49
ENSRNOG00000024825,Fam163a,"family with sequence similarity 163, member A"
ENSRNOG00000039544,Kcnd1,potassium voltage-gated channel subfamily D member 1
ENSRNOG00000053400,Cfi,complement factor I
ENSRNOG00000020421,Fndc7,fibronectin type III domain containing 7
ENSRNOG00000010780,Dlc1,DLC1 Rho GTPase activating protein
ENSRNOG00000010152,RGD1306233,similar to hypothetical protein MGC29761
ENSRNOG00000039749,LOC680885,RIKEN cDNA 1700024G13 gene
ENSRNOG00000049696,Rsph4a,radial spoke head component 4A
ENSRNOG00000008697,Ccn3,cellular communication network factor 3
ENSRNOG00000056996,Cfap65,cilia and flagella associated protein 65
ENSRNOG00000053840,AC103535.1,
ENSRNOG00000004939,Ttll6,tubulin tyrosine ligase like 6
ENSRNOG00000018649,Slc35c2,solute carrier family 35 member C2
ENSRNOG00000036615,RGD1560242,similar to RIKEN cDNA 1700028P14
ENSRNOG00000037149,Bcl2l15,BCL2-like 15
ENSRNOG00000042607,Rhof,"ras homolog family member F, filopodia associated"
ENSRNOG00000057017,AABR07030563.1,
ENSRNOG00000020132,Ttll10,tubulin tyrosine ligase like 10
ENSRNOG00000000279,Rtn4ip1,reticulon 4 interacting protein 1
ENSRNOG00000028805,Cfap77,cilia and flagella associated protein 77
ENSRNOG00000001817,Tm7sf3,transmembrane 7 superfamily member 3
ENSRNOG00000058821,Nat8f1,N-acetyltransferase 8 (GCN5-related) family member 1
ENSRNOG00000042741,Adgb,androglobin
ENSRNOG00000047113,Spsb2,splA/ryanodine receptor domain and SOCS box containing 2
ENSRNOG00000019999,Lypd3,Ly6/Plaur domain containing 3
ENSRNOG00000016330,Rbm12b,RNA binding motif protein 12B
ENSRNOG00000014937,Lrrc71,leucine rich repeat containing 71
ENSRNOG00000012450,Dynlrb2,dynein light chain roadblock-type 2
ENSRNOG00000007584,Ehd4,EH-domain containing 4
ENSRNOG00000034221,Cfap126,cilia and flagella associated protein 126
ENSRNOG00000052061,Ppef2,protein phosphatase with EF-hand domain 2
ENSRNOG00000010997,Ednrb,endothelin receptor type B
ENSRNOG00000014166,Smoc2,SPARC related modular calcium binding 2
ENSRNOG00000053260,Lilrb3a,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3A"
ENSRNOG00000054277,Capsl,calcyphosine-like
ENSRNOG00000061740,LOC103694876,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1
ENSRNOG00000014528,Zswim6,"zinc finger, SWIM-type containing 6"
ENSRNOG00000018915,Tagap,T-cell activation RhoGTPase activating protein
ENSRNOG00000046382,Gatd1,glutamine amidotransferase like class 1 domain containing 1
ENSRNOG00000056087,Erich2,glutamate-rich 2
ENSRNOG00000036816,Wls,Wnt ligand secretion mediator
ENSRNOG00000057867,Mns1,meiosis-specific nuclear structural 1
ENSRNOG00000019203,Eya2,EYA transcriptional coactivator and phosphatase 2
ENSRNOG00000061155,LOC100911851,intersectin-1-like
ENSRNOG00000060175,Tsen2,tRNA splicing endonuclease subunit 2
ENSRNOG00000002978,Faslg,Fas ligand
ENSRNOG00000061928,Myo1e,myosin IE
ENSRNOG00000011553,Actl6a,actin-like 6A
ENSRNOG00000000007,Gad1,glutamate decarboxylase 1
ENSRNOG00000000010,Cbln1,cerebellin 1 precursor
ENSRNOG00000000012,Tcf15,transcription factor 15
ENSRNOG00000000021,AABR07061902.1,
ENSRNOG00000000024,Hebp1,heme binding protein 1
ENSRNOG00000000033,Tmcc2,transmembrane and coiled-coil domain family 2
ENSRNOG00000000034,Nuak2,NUAK family kinase 2
ENSRNOG00000000036,Klhdc8a,kelch domain containing 8A
ENSRNOG00000000040,RGD1304622,similar to 6820428L09 protein
ENSRNOG00000000041,Slc26a1,solute carrier family 26 member 1
ENSRNOG00000000042,Xpr1,xenotropic and polytropic retrovirus receptor 1
ENSRNOG00000000043,Idua,alpha-L-iduronidase
ENSRNOG00000000044,Tmem175,transmembrane protein 175
ENSRNOG00000000047,Cd82,Cd82 molecule
ENSRNOG00000000048,Gak,cyclin G associated kinase
ENSRNOG00000000054,Abhd8,abhydrolase domain containing 8
ENSRNOG00000000060,Cplx1,complexin 1
ENSRNOG00000000062,Pcgf3,polycomb group ring finger 3
ENSRNOG00000000064,Atp5me,ATP synthase membrane subunit e
ENSRNOG00000000066,Fbxo28,F-box protein 28
ENSRNOG00000000068,Ppp2r5a,"protein phosphatase 2, regulatory subunit B', alpha"
ENSRNOG00000000073,Tmed5,transmembrane p24 trafficking protein 5
ENSRNOG00000000075,Mtf2,metal response element binding transcription factor 2
ENSRNOG00000000081,Antxr2,ANTXR cell adhesion molecule 2
ENSRNOG00000000082,Hltf,helicase-like transcription factor
ENSRNOG00000000091,Smad9,SMAD family member 9
ENSRNOG00000000095,Gpr89b,G protein-coupled receptor 89B
ENSRNOG00000000096,Pdzk1,PDZ domain containing 1
ENSRNOG00000000098,Rnf115,ring finger protein 115
ENSRNOG00000000104,Thoc3,THO complex 3
ENSRNOG00000000105,Cplx2,complexin 2
ENSRNOG00000000108,Aga,aspartylglucosaminidase
ENSRNOG00000000111,Coprs,coordinator of PRMT5 and differentiation stimulator
ENSRNOG00000000112,Champ1,chromosome alignment maintaining phosphoprotein 1
ENSRNOG00000000113,Elac1,elaC ribonuclease Z 1
ENSRNOG00000000121,Pigv,"phosphatidylinositol glycan anchor biosynthesis, class V"
ENSRNOG00000000122,Ak2,adenylate kinase 2
ENSRNOG00000000123,Rnf19b,ring finger protein 19B
ENSRNOG00000000127,Kpna6,karyopherin subunit alpha 6
ENSRNOG00000000129,Phf24,PHD finger protein 24
ENSRNOG00000000130,Dnajb5,DnaJ heat shock protein family (Hsp40) member B5
ENSRNOG00000000133,Txndc15,thioredoxin domain containing 15
ENSRNOG00000000137,Ly86,lymphocyte antigen 86
ENSRNOG00000000142,Plxdc2,plexin domain containing 2
ENSRNOG00000000145,Pik3r3,phosphoinositide-3-kinase regulatory subunit 3
ENSRNOG00000000150,Dnajc1,DnaJ heat shock protein family (Hsp40) member C1
ENSRNOG00000000151,Ldlrap1,low density lipoprotein receptor adaptor protein 1
ENSRNOG00000000155,Cog3,component of oligomeric golgi complex 3
ENSRNOG00000000156,LOC100911486,multiple epidermal growth factor-like domains protein 6-like
ENSRNOG00000000157,Atg12,autophagy related 12
ENSRNOG00000000158,Cdo1,cysteine dioxygenase type 1
ENSRNOG00000000161,Chm,CHM Rab escort protein
ENSRNOG00000000164,Lamp2,lysosomal-associated membrane protein 2
ENSRNOG00000000166,Apex2,apurinic/apyrimidinic endodeoxyribonuclease 2
ENSRNOG00000000167,Alas2,5'-aminolevulinate synthase 2
ENSRNOG00000000168,Gatm,glycine amidinotransferase
ENSRNOG00000000169,Spata5l1,spermatogenesis associated 5-like 1
ENSRNOG00000000170,Slc30a4,solute carrier family 30 member 4
ENSRNOG00000000172,Sqor,sulfide quinone oxidoreductase
ENSRNOG00000000175,Mier2,MIER family member 2
ENSRNOG00000000177,Plpp2,phospholipid phosphatase 2
ENSRNOG00000000185,Mpst,mercaptopyruvate sulfurtransferase
ENSRNOG00000000186,Tst,thiosulfate sulfurtransferase
ENSRNOG00000000187,Csf2rb,colony stimulating factor 2 receptor beta common subunit
ENSRNOG00000000190,Ep300,E1A binding protein p300
ENSRNOG00000000195,LOC108348048,von Willebrand factor A domain-containing protein 5A
ENSRNOG00000000196,Cyp19a1,"cytochrome P450, family 19, subfamily a, polypeptide 1"
ENSRNOG00000000204,Syncrip,"synaptotagmin binding, cytoplasmic RNA interacting protein"
ENSRNOG00000000219,Ano10,anoctamin 10
ENSRNOG00000000221,Abhd5,abhydrolase domain containing 5
ENSRNOG00000000230,Lmf1,lipase maturation factor 1
ENSRNOG00000000231,Kctd17,potassium channel tetramerization domain containing 17
ENSRNOG00000000233,Grm6,glutamate metabotropic receptor 6
ENSRNOG00000000236,Zfp207,zinc finger protein 207
ENSRNOG00000000237,RGD1310429,similar to Protein Njmu-R1
ENSRNOG00000000244,Coil,coilin
ENSRNOG00000000245,Slc16a6,"solute carrier family 16, member 6"
ENSRNOG00000000246,Amz2,archaelysin family metallopeptidase 2
ENSRNOG00000000247,Mfsd11,major facilitator superfamily domain containing 11
ENSRNOG00000000248,Srsf2,serine and arginine rich splicing factor 2
ENSRNOG00000000249,Mettl23,methyltransferase like 23
ENSRNOG00000000250,Jmjd6,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase"
ENSRNOG00000000257,Smpd3,sphingomyelin phosphodiesterase 3
ENSRNOG00000000258,Prmt7,protein arginine methyltransferase 7
ENSRNOG00000000262,Zfp821,zinc finger protein 821
ENSRNOG00000000264,Def8,differentially expressed in FDCP 8 homolog
ENSRNOG00000000274,Phyhipl,phytanoyl-CoA 2-hydroxylase interacting protein-like
ENSRNOG00000000275,Fam13c,"family with sequence similarity 13, member C"
ENSRNOG00000000277,Tet1,tet methylcytosine dioxygenase 1
ENSRNOG00000000281,Prodh1,proline dehydrogenase 1
ENSRNOG00000000283,Ess2,ess-2 splicing factor homolog
ENSRNOG00000000288,Scarf2,"scavenger receptor class F, member 2"
ENSRNOG00000000299,Foxo3,forkhead box O3
ENSRNOG00000000302,Sesn1,sestrin 1
ENSRNOG00000000303,Cep57l1,centrosomal protein 57-like 1
ENSRNOG00000000304,Cd164,CD164 molecule
ENSRNOG00000000306,Smpd2,sphingomyelin phosphodiesterase 2
ENSRNOG00000000307,Mical1,"microtubule associated monooxygenase, calponin and LIM domain containing 1"
ENSRNOG00000000308,Zbtb24,zinc finger and BTB domain containing 24
ENSRNOG00000000312,Fig4,FIG4 phosphoinositide 5-phosphatase
ENSRNOG00000000314,Sec63,"SEC63 homolog, protein translocation regulator"
ENSRNOG00000000316,Sobp,sine oculis binding protein homolog
ENSRNOG00000000321,Cd24,CD24 molecule
ENSRNOG00000000322,Atg5,autophagy related 5
ENSRNOG00000000327,Hace1,"HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1"
ENSRNOG00000000340,Rtraf,"RNA transcription, translation and transport factor"
ENSRNOG00000000341,Nid2,nidogen 2
ENSRNOG00000000368,Grik2,glutamate ionotropic receptor kainate type subunit 2
ENSRNOG00000000373,AABR07044900.1,
ENSRNOG00000000386,Pbld1,phenazine biosynthesis-like protein domain containing 1
ENSRNOG00000000387,Slc25a16,solute carrier family 25 member 16
ENSRNOG00000000390,Rufy2,RUN and FYVE domain containing 2
ENSRNOG00000000392,Supv3l1,Suv3 like RNA helicase
ENSRNOG00000000394,Srgn,serglycin
ENSRNOG00000000395,Kifbp,kinesin family binding protein
ENSRNOG00000000396,Ddx50,DExD-box helicase 50
ENSRNOG00000000397,Ccar1,cell division cycle and apoptosis regulator 1
ENSRNOG00000000398,Zup1,zinc finger containing ubiquitin peptidase 1
ENSRNOG00000000407,Dcbld1,"discoidin, CUB and LCCL domain containing 1"
ENSRNOG00000000408,Gopc,golgi associated PDZ and coiled-coil motif containing
ENSRNOG00000000411,Nus1,NUS1 dehydrodolichyl diphosphate synthase subunit
ENSRNOG00000000412,Slc35f1,"solute carrier family 35, member F1"
ENSRNOG00000000413,Pln,phospholamban
ENSRNOG00000000414,Cep85l,centrosomal protein 85-like
ENSRNOG00000000415,Asf1a,anti-silencing function 1A histone chaperone
ENSRNOG00000000417,Numa1,nuclear mitotic apparatus protein 1
ENSRNOG00000000418,Zbtb12,zinc finger and BTB domain containing 12
ENSRNOG00000000419,Cfb,complement factor B
ENSRNOG00000000420,Nelfe,negative elongation factor complex member E
ENSRNOG00000000421,Skiv2l,Ski2 like RNA helicase
ENSRNOG00000000422,Dxo,decapping exoribonuclease
ENSRNOG00000000423,AABR07044388.1,
ENSRNOG00000000431,Atf6b,activating transcription factor 6 beta
ENSRNOG00000000432,Fkbpl,FKBP prolyl isomerase like
ENSRNOG00000000433,Prrt1,proline-rich transmembrane protein 1
ENSRNOG00000000435,Ppt2,palmitoyl-protein thioesterase 2
ENSRNOG00000000436,Egfl8,"EGF-like-domain, multiple 8"
ENSRNOG00000000437,Agpat1,1-acylglycerol-3-phosphate O-acyltransferase 1
ENSRNOG00000000438,Rnf5,ring finger protein 5
ENSRNOG00000000439,Ager,advanced glycosylation end product-specific receptor
ENSRNOG00000000440,Pbx2,PBX homeobox 2
ENSRNOG00000000441,Gpsm3,G-protein signaling modulator 3
ENSRNOG00000000442,Notch4,notch receptor 4
ENSRNOG00000000443,LOC103689965,complement C4-like
ENSRNOG00000000456,Psmb8,proteasome 20S subunit beta 8
ENSRNOG00000000457,Tap1,"transporter 1, ATP binding cassette subfamily B member"
ENSRNOG00000000459,Psmb9,proteasome 20S subunit beta 9
ENSRNOG00000000461,LOC108348112,bromodomain-containing protein 2
ENSRNOG00000000463,Col11a2,collagen type XI alpha 2 chain
ENSRNOG00000000464,Rxrb,retinoid X receptor beta
ENSRNOG00000000465,Slc39a7,solute carrier family 39 member 7
ENSRNOG00000000466,Hsd17b8,hydroxysteroid (17-beta) dehydrogenase 8
ENSRNOG00000000467,Ring1,ring finger protein 1
ENSRNOG00000000470,Vps52,VPS52 subunit of GARP complex
ENSRNOG00000000471,B3galt4,"Beta-1,3-galactosyltransferase 4"
ENSRNOG00000000473,Pfdn6,prefoldin subunit 6
ENSRNOG00000000474,Rgl2,ral guanine nucleotide dissociation stimulator-like 2
ENSRNOG00000000476,Zbtb22,zinc finger and BTB domain containing 22
ENSRNOG00000000477,Daxx,death-domain associated protein
ENSRNOG00000000479,Kifc1,kinesin family member C1
ENSRNOG00000000480,Phf1,PHD finger protein 1
ENSRNOG00000000481,Cuta,cutA divalent cation tolerance homolog
ENSRNOG00000000483,Syngap1,synaptic Ras GTPase activating protein 1
ENSRNOG00000000485,Bak1,BCL2-antagonist/killer 1
ENSRNOG00000000487,Grm4,glutamate metabotropic receptor 4
ENSRNOG00000000488,Hmga1,high mobility group AT-hook 1
ENSRNOG00000000490,Rps10,ribosomal protein S10
ENSRNOG00000000493,Snrpc,small nuclear ribonucleoprotein polypeptide C
ENSRNOG00000000495,Uhrf1bp1,UHRF1 binding protein 1
ENSRNOG00000000498,Anks1a,ankyrin repeat and sterile alpha motif domain containing 1A
ENSRNOG00000000500,Scube3,"signal peptide, CUB domain and EGF like domain containing 3"
ENSRNOG00000000501,Zfp523,zinc finger protein 523
ENSRNOG00000000502,Def6,DEF6 guanine nucleotide exchange factor
ENSRNOG00000000503,Ppard,peroxisome proliferator-activated receptor delta
ENSRNOG00000000504,Fance,FA complementation group E
ENSRNOG00000000505,Rpl10a,ribosomal protein L10A
ENSRNOG00000000506,Tead3,TEA domain transcription factor 3
ENSRNOG00000000511,Srpk1,SRSF protein kinase 1
ENSRNOG00000000512,Slc26a8,solute carrier family 26 member 8
ENSRNOG00000000513,Mapk14,mitogen activated protein kinase 14
ENSRNOG00000000517,Kctd20,potassium channel tetramerization domain containing 20
ENSRNOG00000000519,Stk38,serine/threonine kinase 38
ENSRNOG00000000520,Srsf3,serine and arginine rich splicing factor 3
ENSRNOG00000000521,Cdkn1a,cyclin-dependent kinase inhibitor 1A
ENSRNOG00000000522,Cpne5,copine 5
ENSRNOG00000000523,Ppil1,peptidylprolyl isomerase like 1
ENSRNOG00000000524,RGD735065,similar to GI:13385412-like protein splice form I
ENSRNOG00000000525,Pi16,peptidase inhibitor 16
ENSRNOG00000000527,Mtch1,mitochondrial carrier 1
ENSRNOG00000000528,Fgd2,"FYVE, RhoGEF and PH domain containing 2"
ENSRNOG00000000529,Pim1,"Pim-1 proto-oncogene, serine/threonine kinase"
ENSRNOG00000000531,Ccdc167,coiled-coil domain containing 167
ENSRNOG00000000532,Cmtr1,cap methyltransferase 1
ENSRNOG00000000536,Mdga1,MAM domain containing glycosylphosphatidylinositol anchor 1
ENSRNOG00000000540,Btbd9,BTB domain containing 9
ENSRNOG00000000541,Glo1,glyoxalase 1
ENSRNOG00000000542,Dnah8,"dynein, axonemal, heavy chain 8"
ENSRNOG00000000546,Nt5dc1,5'-nucleotidase domain containing 1
ENSRNOG00000000547,Tspyl4,TSPY-like 4
ENSRNOG00000000549,Tspyl1,TSPY-like 1
ENSRNOG00000000551,Fam241b,family with sequence similarity 241 member B
ENSRNOG00000000552,Col13a1,collagen type XIII alpha 1 chain
ENSRNOG00000000557,Ppa1,inorganic pyrophosphatase 1
ENSRNOG00000000559,Npffr1,neuropeptide FF receptor 1
ENSRNOG00000000560,Lrrc20,leucine rich repeat containing 20
ENSRNOG00000000561,Pald1,"phosphatase domain containing, paladin 1"
ENSRNOG00000000563,Adamts14,"ADAM metallopeptidase with thrombospondin type 1 motif, 14"
ENSRNOG00000000565,Sgpl1,sphingosine-1-phosphate lyase 1
ENSRNOG00000000566,Pcbd1,pterin-4 alpha-carbinolamine dehydratase 1
ENSRNOG00000000567,Unc5b,unc-5 netrin receptor B
ENSRNOG00000000568,Slc29a3,solute carrier family 29 member 3
ENSRNOG00000000569,Vsir,V-set immunoregulatory receptor
ENSRNOG00000000571,Psap,prosaposin
ENSRNOG00000000572,Chst3,carbohydrate sulfotransferase 3
ENSRNOG00000000576,Anapc16,anaphase promoting complex subunit 16
ENSRNOG00000000579,Marcks,myristoylated alanine rich protein kinase C substrate
ENSRNOG00000000580,Calhm4,calcium homeostasis modulator family member 4
ENSRNOG00000000581,Cdc40,cell division cycle 40
ENSRNOG00000000582,Ddo,D-aspartate oxidase
ENSRNOG00000000583,Cdk19,cyclin-dependent kinase 19
ENSRNOG00000000585,Amd1,adenosylmethionine decarboxylase 1
ENSRNOG00000000586,Gtf3c6,general transcription factor 3C subunit 6
ENSRNOG00000000587,Rpf2,ribosome production factor 2 homolog
ENSRNOG00000000589,RGD1310495,similar to KIAA1919 protein
ENSRNOG00000000593,Rev3l,"REV3 like, DNA directed polymerase zeta catalytic subunit"
ENSRNOG00000000595,Traf3ip2,Traf3 interacting protein 2
ENSRNOG00000000596,Fyn,"FYN proto-oncogene, Src family tyrosine kinase"
ENSRNOG00000000598,Tube1,"tubulin, epsilon 1"
ENSRNOG00000000599,Lama4,laminin subunit alpha 4
ENSRNOG00000000604,Hdac2,histone deacetylase 2
ENSRNOG00000000605,Hs3st5,heparan sulfate-glucosamine 3-sulfotransferase 5
